"Markettype","Trddt","Dnvaltrdtl"
"1","2015-01-15","330328289316.000"
"4","2015-01-15","153948713241.130"
"16","2015-01-15","32266880293.380"
"2","2015-01-16","38263849.000"
"8","2015-01-16","255034943.440"
"1","2015-01-16","392019359858.000"
"4","2015-01-16","178346847405.060"
"16","2015-01-16","41371298210.920"
"2","2015-01-19","105753827.000"
"8","2015-01-19","451619775.090"
"1","2015-01-19","409238905450.000"
"4","2015-01-19","217433357512.460"
"16","2015-01-19","58451273278.560"
"2","2015-01-20","56381654.000"
"8","2015-01-20","277389537.990"
"1","2015-01-20","415950222450.000"
"4","2015-01-20","218077903653.000"
"16","2015-01-20","57614447145.270"
"2","2015-01-21","53349277.000"
"8","2015-01-21","375567538.380"
"1","2015-01-21","473432233611.000"
"4","2015-01-21","252117286281.750"
"16","2015-01-21","65253957752.680"
"2","2015-01-22","52635587.000"
"8","2015-01-22","249128093.140"
"1","2015-01-22","407551999989.000"
"4","2015-01-22","230564416999.990"
"16","2015-01-22","57605294221.070"
"2","2015-01-23","61704921.000"
"8","2015-01-23","274455110.100"
"1","2015-01-23","420601973992.000"
"4","2015-01-23","222537246971.360"
"16","2015-01-23","53181365140.960"
"2","2015-01-26","73362324.000"
"8","2015-01-26","294473799.830"
"1","2015-01-26","357977451688.000"
"4","2015-01-26","224315819485.900"
"16","2015-01-26","45847670736.030"
"2","2015-01-27","51028447.000"
"8","2015-01-27","351701768.520"
"1","2015-01-27","417985851496.000"
"4","2015-01-27","244497684748.060"
"16","2015-01-27","50015431688.360"
"2","2015-01-28","44367023.000"
"8","2015-01-28","363021724.110"
"1","2015-01-28","341292143912.000"
"4","2015-01-28","202005380829.850"
"16","2015-01-28","49983388033.540"
"2","2015-01-29","43716450.000"
"8","2015-01-29","344978900.640"
"1","2015-01-29","296156334274.000"
"4","2015-01-29","181692915253.650"
"16","2015-01-29","37907548001.020"
"2","2015-01-30","33661586.000"
"8","2015-01-30","326018125.960"
"1","2015-01-30","284059165213.000"
"4","2015-01-30","175257483876.660"
"16","2015-01-30","38058113432.150"
"2","2015-02-02","31970034.000"
"8","2015-02-02","217237143.600"
"1","2015-02-02","266653761664.000"
"4","2015-02-02","152006977773.960"
"16","2015-02-02","37366623093.440"
"2","2015-02-03","31898567.000"
"8","2015-02-03","207901798.810"
"1","2015-02-03","283160193251.000"
"4","2015-02-03","168504697395.230"
"16","2015-02-03","54048167272.470"
"2","2015-02-04","42739211.000"
"8","2015-02-04","311164544.050"
"1","2015-02-04","289892864036.000"
"4","2015-02-04","181446948526.060"
"16","2015-02-04","51146969461.590"
"2","2015-02-05","45493452.000"
"8","2015-02-05","296846339.920"
"1","2015-02-05","347987761621.000"
"4","2015-02-05","204821805739.920"
"16","2015-02-05","66054608797.500"
